  82 | 11/20/2023 | 13:02:08 | System Event #0xff | PEF Action () | Asserted
  83 | 11/21/2023 | 13:01:01 | System Event #0xff | PEF Action () | Asserted
  84 | 11/21/2023 | 13:02:29 | System Event #0xff | PEF Action () | Asserted
  85 | 12/06/2023 | 18:57:17 | System Event #0xff | PEF Action () | Asserted
  86 | 12/06/2023 | 18:58:31 | System Event #0xff | PEF Action () | Asserted
  87 | 12/06/2023 | 20:47:04 | System Event #0xff | PEF Action () | Asserted
  88 | 12/06/2023 | 20:48:24 | System Event #0xff | PEF Action () | Asserted
  89 | 12/06/2023 | 21:43:46 | System Event #0xff | PEF Action () | Asserted
  8a | 12/06/2023 | 21:45:07 | System Event #0xff | PEF Action () | Asserted
  8b | 12/15/2023 | 18:01:32 | System Event #0xff | PEF Action () | Asserted
  8c | 12/15/2023 | 18:02:43 | System Event #0xff | PEF Action () | Asserted
  8d | 12/29/2023 | 18:01:11 | System Event #0xff | PEF Action () | Asserted
  8e | 12/29/2023 | 18:02:40 | System Event #0xff | PEF Action () | Asserted
  8f | 01/01/2024 | 21:18:12 | System Event #0xff | PEF Action () | Asserted
  90 | 01/01/2024 | 21:19:52 | System Event #0xff | PEF Action () | Asserted
  91 | 01/04/2024 | 09:01:11 | System Event #0xff | PEF Action () | Asserted
  92 | 01/04/2024 | 09:02:39 | System Event #0xff | PEF Action () | Asserted
  93 | 01/05/2024 | 04:02:32 | System Event #0xff | PEF Action () | Asserted
  94 | 01/05/2024 | 04:03:42 | System Event #0xff | PEF Action () | Asserted
  95 | 02/06/2024 | 16:23:43 | System Event #0xff | PEF Action () | Asserted
  96 | 02/06/2024 | 16:25:20 | System Event #0xff | PEF Action () | Asserted
  97 | 02/06/2024 | 16:33:55 | System Event #0xff | PEF Action () | Asserted
  98 | 02/06/2024 | 16:34:38 | System Event #0xff | PEF Action () | Asserted
  99 | 02/15/2024 | 10:01:08 | System Event #0xff | PEF Action () | Asserted
  9a | 02/15/2024 | 10:01:53 | System Event #0xff | PEF Action () | Asserted
  9b | 02/28/2024 | 10:01:01 | System Event #0xff | PEF Action () | Asserted
  9c | 02/28/2024 | 10:01:46 | System Event #0xff | PEF Action () | Asserted
  9d | 02/29/2024 | 06:15:41 | System Event #0xff | PEF Action () | Asserted
  9e | 02/29/2024 | 06:23:07 | System Event #0xff | PEF Action () | Asserted
  9f | 02/29/2024 | 06:53:15 | System Event #0xff | PEF Action () | Asserted
  a0 | 02/29/2024 | 08:36:10 | System Event #0xff | PEF Action () | Asserted
  a1 | 02/29/2024 | 08:37:02 | System Event #0xff | PEF Action () | Asserted
  a2 | 03/10/2024 | 19:00:56 | System Event #0xff | PEF Action () | Asserted
